/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_6.asm SUCCESS CPI:2.5 CYCLES:2490 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 68.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_7.asm SUCCESS CPI:2.5 CYCLES:2490 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 68.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_8.asm SUCCESS CPI:2.6 CYCLES:2655 ICOUNT:1007 IHITRATE: 97.2 DHITRATE: 60.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_large_9.asm SUCCESS CPI:2.3 CYCLES:2280 ICOUNT:982 IHITRATE: 96.8 DHITRATE: 84.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small.asm SUCCESS CPI:2.5 CYCLES:2460 ICOUNT:994 IHITRATE: 97.0 DHITRATE: 70.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_1.asm SUCCESS CPI:2.3 CYCLES:2295 ICOUNT:983 IHITRATE: 96.8 DHITRATE: 82.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_2.asm SUCCESS CPI:2.3 CYCLES:2265 ICOUNT:981 IHITRATE: 96.7 DHITRATE: 85.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_3.asm SUCCESS CPI:2.4 CYCLES:2340 ICOUNT:986 IHITRATE: 96.8 DHITRATE: 79.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_4.asm SUCCESS CPI:2.3 CYCLES:2265 ICOUNT:981 IHITRATE: 96.7 DHITRATE: 85.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_5.asm SUCCESS CPI:2.6 CYCLES:2640 ICOUNT:1006 IHITRATE: 97.2 DHITRATE: 60.8
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_6.asm SUCCESS CPI:2.5 CYCLES:2490 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 68.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_7.asm SUCCESS CPI:2.5 CYCLES:2490 ICOUNT:996 IHITRATE: 97.0 DHITRATE: 68.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_8.asm SUCCESS CPI:2.6 CYCLES:2655 ICOUNT:1007 IHITRATE: 97.2 DHITRATE: 60.1
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/ldst_rand_small_9.asm SUCCESS CPI:2.3 CYCLES:2280 ICOUNT:982 IHITRATE: 96.8 DHITRATE: 84.0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_0.asm SUCCESS CPI:4.6 CYCLES:41 ICOUNT:9 IHITRATE: 34.2 DHITRATE: 42.9
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_ld_test_1.asm SUCCESS CPI:6.7 CYCLES:47 ICOUNT:7 IHITRATE: 27.3 DHITRATE: 27.3
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_0.asm SUCCESS CPI:4.0 CYCLES:36 ICOUNT:9 IHITRATE: 27.3 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_reg_test_1.asm SUCCESS CPI:6.6 CYCLES:46 ICOUNT:7 IHITRATE: 25.6 DHITRATE: 0
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_0.asm SUCCESS CPI:3.9 CYCLES:39 ICOUNT:10 IHITRATE: 30.6 DHITRATE: 46.7
/u/s/i/sinclair/courses/cs552/spring2022/handouts/testprograms/public/rand_ldst/rpt_st_test_1.asm SUCCESS CPI:6.8 CYCLES:48 ICOUNT:7 IHITRATE: 28.9 DHITRATE: 33.3
